agency,site_num,date,discharge_cfs,height_ft
USGS,6710385,2013-09-09 00:00,40,4.57
USGS,6710385,2013-09-09 00:15,40,4.57
USGS,6710385,2013-09-09 00:30,40,4.57
USGS,6710385,2013-09-09 00:45,40,4.57
USGS,6710385,2013-09-09 01:00,40,4.57
USGS,6710385,2013-09-09 01:15,40,4.57
USGS,6710385,2013-09-09 01:30,40,4.57
USGS,6710385,2013-09-09 01:45,40,4.57
USGS,6710385,2013-09-09 02:00,40,4.57
USGS,6710385,2013-09-09 02:15,40,4.57
USGS,6710385,2013-09-09 02:30,40,4.57
USGS,6710385,2013-09-09 02:45,40,4.57
USGS,6710385,2013-09-09 03:00,38,4.56
USGS,6710385,2013-09-09 03:15,40,4.57
USGS,6710385,2013-09-09 03:30,40,4.57
USGS,6710385,2013-09-09 03:45,40,4.57
USGS,6710385,2013-09-09 04:00,40,4.57
USGS,6710385,2013-09-09 04:15,40,4.57
USGS,6710385,2013-09-09 04:30,40,4.57
USGS,6710385,2013-09-09 04:45,40,4.57
USGS,6710385,2013-09-09 05:00,40,4.57
USGS,6710385,2013-09-09 05:15,38,4.56
USGS,6710385,2013-09-09 05:30,40,4.57
USGS,6710385,2013-09-09 05:45,40,4.57
USGS,6710385,2013-09-09 06:00,40,4.57
USGS,6710385,2013-09-09 06:15,40,4.57
USGS,6710385,2013-09-09 06:30,40,4.57
USGS,6710385,2013-09-09 06:45,40,4.57
USGS,6710385,2013-09-09 07:00,40,4.57
USGS,6710385,2013-09-09 07:15,40,4.57
USGS,6710385,2013-09-09 07:30,40,4.57
USGS,6710385,2013-09-09 07:45,40,4.57
USGS,6710385,2013-09-09 08:00,40,4.57
USGS,6710385,2013-09-09 08:15,40,4.57
USGS,6710385,2013-09-09 08:30,40,4.57
USGS,6710385,2013-09-09 08:45,40,4.57
USGS,6710385,2013-09-09 09:00,40,4.57
USGS,6710385,2013-09-09 09:15,40,4.57
USGS,6710385,2013-09-09 09:30,40,4.57
USGS,6710385,2013-09-09 09:45,40,4.57
USGS,6710385,2013-09-09 10:00,41,4.58
USGS,6710385,2013-09-09 10:15,40,4.57
USGS,6710385,2013-09-09 10:30,40,4.57
USGS,6710385,2013-09-09 10:45,40,4.57
USGS,6710385,2013-09-09 11:00,40,4.57
USGS,6710385,2013-09-09 11:15,40,4.57
USGS,6710385,2013-09-09 11:30,40,4.57
USGS,6710385,2013-09-09 11:45,40,4.57
USGS,6710385,2013-09-09 12:00,40,4.57
USGS,6710385,2013-09-09 12:15,40,4.57
USGS,6710385,2013-09-09 12:30,40,4.57
USGS,6710385,2013-09-09 12:45,40,4.57
USGS,6710385,2013-09-09 13:00,40,4.57
USGS,6710385,2013-09-09 13:15,40,4.57
USGS,6710385,2013-09-09 13:30,40,4.57
USGS,6710385,2013-09-09 13:45,40,4.57
USGS,6710385,2013-09-09 14:00,40,4.57
USGS,6710385,2013-09-09 14:15,40,4.57
USGS,6710385,2013-09-09 14:30,40,4.57
USGS,6710385,2013-09-09 14:45,40,4.57
USGS,6710385,2013-09-09 15:00,40,4.57
USGS,6710385,2013-09-09 15:15,40,4.57
USGS,6710385,2013-09-09 15:30,41,4.58
USGS,6710385,2013-09-09 15:45,42,4.59
USGS,6710385,2013-09-09 16:00,42,4.59
USGS,6710385,2013-09-09 16:15,42,4.59
USGS,6710385,2013-09-09 16:30,42,4.59
USGS,6710385,2013-09-09 16:45,41,4.58
USGS,6710385,2013-09-09 17:00,41,4.58
USGS,6710385,2013-09-09 17:15,41,4.58
USGS,6710385,2013-09-09 17:30,41,4.58
USGS,6710385,2013-09-09 17:45,42,4.59
USGS,6710385,2013-09-09 18:00,42,4.59
USGS,6710385,2013-09-09 18:15,45,4.61
USGS,6710385,2013-09-09 18:30,46,4.62
USGS,6710385,2013-09-09 18:45,47,4.63
USGS,6710385,2013-09-09 19:00,47,4.63
USGS,6710385,2013-09-09 19:15,47,4.63
USGS,6710385,2013-09-09 19:30,51,4.66
USGS,6710385,2013-09-09 19:45,58,4.71
USGS,6710385,2013-09-09 20:00,66,4.76
USGS,6710385,2013-09-09 20:15,60,4.72
USGS,6710385,2013-09-09 20:30,58,4.71
USGS,6710385,2013-09-09 20:45,58,4.71
USGS,6710385,2013-09-09 21:00,58,4.71
USGS,6710385,2013-09-09 21:15,58,4.71
USGS,6710385,2013-09-09 21:30,58,4.71
USGS,6710385,2013-09-09 21:45,60,4.72
USGS,6710385,2013-09-09 22:00,58,4.71
USGS,6710385,2013-09-09 22:15,60,4.72
USGS,6710385,2013-09-09 22:30,61,4.73
USGS,6710385,2013-09-09 22:45,61,4.73
USGS,6710385,2013-09-09 23:00,61,4.73
USGS,6710385,2013-09-09 23:15,61,4.73
USGS,6710385,2013-09-09 23:30,63,4.74
USGS,6710385,2013-09-09 23:45,63,4.74
USGS,6710385,2013-09-10 00:00,63,4.74
USGS,6710385,2013-09-10 00:15,61,4.73
USGS,6710385,2013-09-10 00:30,63,4.74
USGS,6710385,2013-09-10 00:45,67,4.77
USGS,6710385,2013-09-10 01:00,72,4.8
